product_id,category,price,brand
P00000001,Clothing,1358.25,商软冠联科技有限公司
P00000002,Electronics,266.69,四通科技有限公司
P00000003,Home,616.06,浦华众城科技有限公司
P00000004,Beauty,57.23,立信电子科技有限公司
P00000005,Clothing,901.0,诺依曼软件传媒有限公司
P00000006,Home,1040.41,时刻传媒有限公司
P00000007,Books,134.74,巨奥科技有限公司
P00000008,Toys,1070.59,万迅电脑科技有限公司
P00000009,Food,375.6,浦华众城信息有限公司
P00000010,Clothing,570.28,新格林耐特传媒有限公司
P00000011,Toys,1725.14,泰麒麟传媒有限公司
P00000012,Electronics,427.15,毕博诚科技有限公司
P00000013,Home,1925.66,海创传媒有限公司
P00000014,Beauty,383.54,合联电子信息有限公司
P00000015,Beauty,1331.94,新格林耐特科技有限公司
P00000016,Beauty,433.96,创汇网络有限公司
P00000017,Food,620.51,浦华众城网络有限公司
P00000018,Home,217.9,快讯信息有限公司
P00000019,Books,728.83,创亿网络有限公司
P00000020,Electronics,1611.53,七喜网络有限公司
P00000021,Beauty,1688.48,黄石金承信息有限公司
P00000022,Electronics,140.62,盟新科技有限公司
P00000023,Beauty,229.94,惠派国际公司信息有限公司
P00000024,Clothing,476.48,黄石金承网络有限公司
P00000025,Sports,674.58,思优科技有限公司
P00000026,Toys,1146.74,方正科技网络有限公司
P00000027,Home,104.18,中建创业传媒有限公司
P00000028,Toys,1522.08,合联电子传媒有限公司
P00000029,Home,1372.42,毕博诚信息有限公司
P00000030,Home,1361.24,易动力科技有限公司
P00000031,Sports,852.29,创联世纪网络有限公司
P00000032,Toys,269.65,雨林木风计算机网络有限公司
P00000033,Clothing,983.35,信诚致远信息有限公司
P00000034,Clothing,1424.44,雨林木风计算机信息有限公司
P00000035,Toys,1433.48,趋势信息有限公司
P00000036,Toys,987.3,四通信息有限公司
P00000037,Toys,1473.74,数字100信息有限公司
P00000038,Sports,1730.89,合联电子网络有限公司
P00000039,Food,1005.2,凌颖信息信息有限公司
P00000040,Toys,1316.0,时空盒数字信息有限公司
P00000041,Home,1581.77,晖来计算机传媒有限公司
P00000042,Clothing,1070.73,易动力信息有限公司
P00000043,Food,1233.3,华远软件信息有限公司
P00000044,Home,93.02,襄樊地球村信息有限公司
P00000045,Toys,457.4,凌云科技有限公司
P00000046,Beauty,728.88,七喜科技有限公司
